event_id,ts,ip,url
beeb20c9-7280-450c-b5c3-94f721808fce,2018-01-01 06:00:08,116.190.64.233,/department/fitness/category/baseball%20&%20softball/product/adidas%20Brazuca%202017%20Official%20Match%20Ball
36b5f721-51cf-43c8-93b8-dd082b0db6c7,2018-01-01 06:00:26,64.246.220.203,/department/fan%20shop/category/hunting%20&%20shooting/product/The%20North%20Face%20Women's%20Recon%20Backpack
6f87513b-03c6-4e3e-96a7-d7cca917bb0e,2018-01-01 06:00:30,181.250.43.60,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
40f401db-73ab-4901-a66a-be9315b453f5,2018-01-01 06:00:54,85.55.142.159,/department/footwear/category/electronics/product/Under%20Armour%20Men's%20Compression%20EV%20SL%20Slide
b1af7686-6713-48d5-a26a-c783ae771974,2018-01-01 06:01:11,8.71.120.94,/department/fan%20shop/category/water%20sports/product/Pelican%20Sunstream%20100%20Kayak
ecc399d4-686b-4097-bc1e-d934013167f6,2018-01-01 06:02:05,138.144.188.161,/department/outdoors/category/accessories/product/Team%20Golf%20Tennessee%20Volunteers%20Putter%20Grip
06b2edff-ee35-4a9c-979c-35fb42648753,2018-01-01 06:02:05,223.162.65.131,/department/fitness/category/basketball/product/Diamondback%20Boys'%20Insight%2024%20Performance%20Hybr/add_to_cart
e92f5239-81b9-4eb4-9598-14cde29fed04,2018-01-01 06:02:26,113.143.229.102,/department/fan%20shop/category/hunting%20&%20shooting/product/The%20North%20Face%20Women's%20Recon%20Backpack
968d1e46-0a36-4c98-b186-6ace459a733d,2018-01-01 06:03:20,119.120.93.149,/department/footwear/category/boxing%20&%20mma/product/Under%20Armour%20Women's%20Micro%20G%20Skulpt%20Running%20S/add_to_cart
4da9cbde-acca-4fd4-9b2f-58ee82e7796f,2018-01-01 06:03:44,34.182.67.176,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo
24a2b04c-0049-4317-8039-f27ef7546a23,2018-01-01 06:03:47,173.69.9.204,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
51e0b2a6-3027-4d12-8469-11ac3f8a517c,2018-01-01 06:03:55,28.220.241.37,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo
74192ef8-3f43-4d3d-a8b7-9dcf73bb6a04,2018-01-01 06:04:02,188.252.239.39,/department/apparel/category/cleats/product/Perfect%20Fitness%20Perfect%20Rip%20Deck
0409a922-9e62-4385-9d59-ce691fe9a9e7,2018-01-01 06:05:24,147.83.245.77,/department/apparel/category/featured%20shops/product/adidas%20Kids'%20RG%20III%20Mid%20Football%20Cleat
efe7e9d4-af0c-42f8-b872-ca3956628191,2018-01-01 06:06:13,189.205.165.122,/department/footwear/category/fitness%20accessories/product/Under%20Armour%20Hustle%20Storm%20Medium%20Duffle%20Bag/add_to_cart
54741766-6a7c-46ab-b339-44394b0cf55b,2018-01-01 06:06:14,165.54.188.125,/department/fan%20shop/category/indoor/outdoor%20games/product/O'Brien%20Men's%20Neoprene%20Life%20Vest
18c4d6b4-271d-4134-b12a-b4d045e30ae6,2018-01-01 06:06:45,104.121.51.112,/department/footwear/category/electronics/product/Under%20Armour%20Men's%20Compression%20EV%20SL%20Slide
647d9ae1-9676-4b12-90cd-917fa646b6f1,2018-01-01 06:06:51,119.120.93.149,/department/footwear/category/boxing%20&%20mma/product/Under%20Armour%20Women's%20Micro%20G%20Skulpt%20Running%20S
166504d2-d695-467c-9ba3-c1d45134a6ad,2018-01-01 06:07:51,69.109.16.108,/department/golf/category/women's%20apparel/product/Nike%20Men's%20Dri-FIT%20Victory%20Golf%20Polo
d83d783e-06db-446c-b621-08ab2b626822,2018-01-01 06:07:55,17.119.112.54,/department/footwear/category/strength%20training/product/SOLE%20E35%20Elliptical/add_to_cart
c23276df-6ab9-497e-82fc-972b511debae,2018-01-01 06:08:54,23.84.70.66,/department/footwear/category/fitness%20accessories/product/Under%20Armour%20Hustle%20Storm%20Medium%20Duffle%20Bag
7e8079cf-ce5f-4d6d-bc6a-c14b8999adf5,2018-01-01 06:09:03,138.250.94.254,/department/fitness/category/lacrosse/product/Under%20Armour%20Men's%20Tech%20II%20T-Shirt
70d989f9-e0bb-4c3e-ae01-92abb54751f5,2018-01-01 06:09:39,63.64.42.142,/department/footwear/category/cardio%20equipment/product/Nike%20Men's%20Free%205.0+%20Running%20Shoe
2fbe5ee7-8a97-4276-80c2-e6a372af5032,2018-01-01 06:09:59,148.120.225.75,/department/fitness/category/tennis%20&%20racquet/product/Nike%20Men's%20Comfort%202%20Slide
3d5ec7ce-e36e-44b0-9a41-52f37a892c2d,2018-01-01 06:10:01,111.45.151.49,/department/golf/category/girls'%20apparel/product/adidas%20Youth%20Germany%20Black/Red%20Away%20Match%20Soc
